지역,외식,관광쇼핑,숙박,레저스포츠,목욕,문화,사진촬영,체험,교통,종교활동
강원 강릉시,246542145629.0,1290534668.0,46713228237.0,9646530399.0,296107590.0,1685136864.0,650518029.0,3241919712.0,282904818.0,208283957.0
강원 고성군,44843376536.0,231964371.0,27714500492.0,19577062819.0,13092820.0,250591067.0,30376150.0,80735856.0,0.0,991585240.0
강원 동해시,35430378982.0,29518942.0,7658238886.0,1095913682.0,185269740.0,508529020.0,89000151.0,20191715.0,107607350.0,92885379.0
강원 삼척시,43620621162.0,73863983.0,25151131938.0,3977796472.0,27803869.0,168787523.0,45235590.0,201951855.0,27632580.0,0.0
강원 속초시,203471078960.0,521424416.0,54731608524.0,2056516595.0,135252395.0,995928428.0,62724678.0,474099414.0,5498902305.0,2972066520.0
강원 양구군,7452815616.0,1466250.0,976693648.0,88821192.0,17730165.0,704951652.0,4580290.0,48910224.0,9143868.0,0.0
강원 양양군,65807384820.0,1392067182.0,25622557382.0,3402996288.0,594545062.0,16789460.0,12500290.0,425438700.0,3336894086.0,1920161495.0
강원 영월군,18728857457.0,57270572.0,3877738422.0,1443649035.0,33765900.0,552536074.0,8726760.0,296763215.0,8295950.0,107897566.0
강원 원주시,127700910192.0,117283880.0,6804819460.0,33711324823.0,289237076.0,6213063189.0,929510219.0,422197130.0,478192837.0,1966084124.0
강원 인제군,29142641926.0,46427148.0,1862738794.0,228493746.0,124708626.0,9943795.0,3690180.0,175964755.0,601235274.0,22392300.0
강원 정선군,21097305089.0,85965276.0,24819642025.0,6205844121.0,39098394.0,12398447.0,73790895.0,1995123290.0,2248588.0,0.0
강원 철원군,20708809114.0,146271162.0,1398334342.0,9662844711.0,14367265.0,132356257.0,16630155.0,585510851.0,48204300.0,75435400.0
강원 춘천시,148238640773.0,418860369.0,11980957226.0,90065781751.0,243027154.0,1389361798.0,562177767.0,2682615160.0,472422688.0,364801404.0
강원 태백시,14405635082.0,0.0,1422572299.0,5683416696.0,90357095.0,48542879.0,11144093.0,17350305.0,10129590.0,148533535.0
강원 평창군,60713926210.0,396395867.0,72135665526.0,9589149917.0,45337856.0,14724880.0,13345250.0,4226875937.0,10495330.0,3253781979.0
강원 홍천군,53887927917.0,157712220.0,69974115281.0,63782396892.0,44207171.0,40926028.0,35727180.0,185053829.0,26492420.0,474446662.0
강원 화천군,11035180834.0,0.0,730671480.0,205211766.0,10167798.0,35616021.0,9469950.0,2034914.0,92502.0,0.0
강원 횡성군,31135657829.0,1079570.0,7974625771.0,32676305989.0,38557525.0,75596037.0,5176325.0,1002045985.0,6118500.0,0.0
경기 가평군,84517553668.0,117155679.0,13063452291.0,52860525571.0,84377287.0,1498023549.0,38264762.0,762428494.0,31091480.0,328042300.0
경기 고양시,346120832285.0,408992321.0,7557429495.0,41019131156.0,1449470299.0,5244964788.0,2289391871.0,2940200380.0,690952279.0,4637311219.0
경기 과천시,40532117836.0,101613325.0,28157700.0,169989311.0,12409005.0,190309345.0,34295862.0,8264411810.0,1837756558.0,0.0
경기 광명시,109226541921.0,10209728.0,2603286926.0,2685123054.0,121476484.0,1701617505.0,718934380.0,999979797.0,174304770.0,229674190.0
경기 광주시,91698983115.0,103637301.0,1864666807.0,41519394936.0,191726064.0,321393435.0,642052290.0,913550336.0,202943030.0,931300250.0
경기 구리시,63835588253.0,0.0,1981760627.0,3765743217.0,55174980.0,1515048818.0,437747851.0,161342347.0,37743344.0,203470905.0
경기 군포시,31759571711.0,15575500.0,961897070.0,2446083278.0,70976799.0,336184148.0,84792010.0,164674802.0,76864620.0,51320840.0
경기 김포시,164176040512.0,106085038.0,4199809493.0,11427154860.0,600578618.0,1959204805.0,502854097.0,1110162058.0,404953478.0,162364890.0
경기 남양주시,207913107142.0,97366400.0,4029898501.0,29009411334.0,296298385.0,2462871537.0,467750936.0,2448649482.0,105534652.0,1424975080.0
경기 동두천시,15142736278.0,150516200.0,765947386.0,2718762553.0,48036684.0,103233428.0,60362430.0,131735490.0,14988250.0,158897264.0
경기 부천시,263469454678.0,16444115.0,5028359445.0,6105280036.0,489554678.0,6160331479.0,2545500855.0,4357036618.0,1037910357.0,2410992506.0
경기 성남시,305137263212.0,17019970.0,15741277851.0,16118629224.0,401050893.0,32865210400.0,2091344519.0,864588949.0,82063736507.0,675551280.0
경기 수원시,200609899907.0,186599404.0,10749489863.0,9326066485.0,285252225.0,3482835720.0,1398598765.0,3017367909.0,1100808911.0,1283374330.0
경기 시흥시,142370797876.0,110925693.0,4678818266.0,14344783503.0,253604166.0,1046029236.0,147629346.0,854255815.0,39210461.0,276516786.0
경기 안산시,114945160564.0,26010961.0,4961642688.0,14323495283.0,87854529.0,1176152030.0,413656055.0,457858391.0,359852536.0,803136739.0
경기 안성시,57706235992.0,862542279.0,2111881513.0,41347662459.0,100588522.0,320808549.0,92065685.0,892658245.0,115529673.0,530638724.0
경기 안양시,120265891970.0,37024830.0,3861941771.0,3223338080.0,209727462.0,2040278877.0,636758663.0,204830105.0,116129122190.0,594352205.0
경기 양주시,69127147316.0,4869268.0,1584525698.0,16128149320.0,352908066.0,1218561046.0,130114223.0,2367000738.0,3614217.0,5853475032.0
경기 양평군,75503753973.0,11214930.0,5940132252.0,12115323128.0,96702664.0,322311966.0,37231996.0,1358065536.0,40954725.0,385147248.0
경기 여주시,41948221312.0,431057849.0,2207874746.0,111363895850.0,85628556.0,461569394.0,38011273.0,1210554283.0,249568367.0,149822910.0
경기 연천군,11206420705.0,0.0,3539850775.0,6680141418.0,26429723.0,22756622.0,7007205.0,85718092.0,0.0,641161600.0
경기 오산시,34966525402.0,9128414.0,2358922086.0,629385121.0,80739840.0,212349946.0,32233735.0,177769700.0,55445021.0,16764850.0
경기 용인시,214603389953.0,450345290.0,12731263198.0,123908857357.0,288857034.0,45473725977.0,2379915346.0,6036344050.0,267824492.0,1427569420.0
경기 의왕시,36966432527.0,4254110.0,1004182626.0,458679345.0,15764505.0,234680095.0,98045715.0,18818481.0,9159630.0,37883300.0
경기 의정부시,107601824166.0,74069387.0,2875719827.0,2857829289.0,230668990.0,1731641536.0,641679353.0,694815287.0,147039235.0,1040592415.0
경기 이천시,84983147363.0,627408912.0,3864402047.0,67670504767.0,68381249.0,161654939.0,81985526.0,3005255223.0,26995347.0,246275155.0
경기 파주시,145427363432.0,91693831.0,4035637126.0,49895425366.0,282262572.0,83745467209.0,810685842.0,3806403484.0,138431728.0,647804970.0
경기 평택시,141554065427.0,137450573.0,6730496605.0,5425727063.0,146968876.0,1229826811.0,396022232.0,302978435.0,239979925.0,247887111.0
경기 포천시,75259212935.0,285852366.0,4939043711.0,82532557291.0,33919095.0,501215323.0,119000389.0,1126228540.0,10380540.0,40627075.0
경기 하남시,136861266994.0,86860632.0,1484052044.0,16358519611.0,351468150.0,1870004973.0,1821462281.0,534421372.0,7498450.0,945970669.0
경기 화성시,158893964455.0,35602793.0,8890072834.0,34978044795.0,520851908.0,1699391125.0,349148177.0,663486200.0,117438910.0,270135760.0
경남 거제시,60243475241.0,43198716.0,30681894850.0,5102051649.0,126944672.0,132237254.0,379488650.0,2501322938.0,126407269.0,19351600.0
경남 거창군,12041807541.0,2140720.0,849572630.0,4177655387.0,287021934.0,43120224.0,17321700.0,15112510.0,4538200.0,122544950.0
경남 고성군,9631982329.0,0.0,810298095.0,2728909304.0,44280378.0,550119427.0,1330820.0,356076030.0,359809617.0,47764958.0
경남 김해시,88121590733.0,193980489.0,4725148665.0,21692597549.0,476885627.0,1117593582.0,1360034550.0,847043208.0,740962257.0,352332309.0
경남 남해군,28774900811.0,380517861.0,2346851800.0,23430468365.0,7555083.0,72705178.0,2711480.0,2008875776.0,62745707.0,426923445.0
경남 밀양시,21955263301.0,132912860.0,1711284968.0,10826252454.0,116710642.0,61642907.0,20856440.0,1083499846.0,0.0,726327225.0
경남 사천시,23746050354.0,87408915.0,3169686008.0,6078829110.0,100977605.0,124780197.0,10584470.0,675050660.0,30895380.0,840546625.0
경남 산청군,7278964013.0,1325010.0,497412010.0,181600176.0,19711938.0,31000.0,5382825.0,37902250.0,0.0,100877850.0
경남 양산시,98718368282.0,161069945.0,4373387167.0,46384796103.0,505906029.0,3211049539.0,175571914.0,1006601887.0,26616910.0,1260251819.0
경남 의령군,3502596734.0,0.0,243379897.0,221686365.0,8370950.0,332608.0,253500.0,31910500.0,0.0,280252510.0
경남 진주시,45491871378.0,17150400.0,4012742495.0,1714165528.0,170045992.0,870028735.0,260600514.0,68624910.0,255434021.0,310247985.0
경남 창녕군,14467474002.0,26148363.0,3467476518.0,7903361752.0,47725702.0,25370785.0,2498310.0,210493905.0,0.0,86627400.0
경남 창원시,145764120861.0,430693799.0,12345763768.0,16327546826.0,638985102.0,1139945639.0,702035814.0,885439000.0,493848363.0,970429949.0
경남 통영시,47508489720.0,175837961.0,11917406144.0,3937090022.0,84632892.0,147634710.0,688163163.0,201688177.0,270888125.0,3563500.0
경남 하동군,16443021272.0,154494308.0,2013906297.0,559876290.0,66252219.0,12844712.0,1368560.0,1133921883.0,14288050.0,64651150.0
경남 함안군,13954170444.0,13759020.0,482121210.0,1421804355.0,35906489.0,17044099.0,848390.0,43140610.0,23027300.0,140749560.0
경남 함양군,9739295096.0,1991819.0,691401367.0,592842080.0,36878448.0,29875423.0,3968880.0,51179172.0,10199600.0,23277850.0
경남 합천군,11694675754.0,233170588.0,1080401087.0,6361523757.0,36614514.0,79002139.0,2734660.0,295966817.0,0.0,1455490355.0
경북 경산시,80340721988.0,8520850.0,2522641921.0,20366108062.0,479649150.0,1787947266.0,135552779.0,229040430.0,16413582.0,3058703550.0
경북 경주시,184160116937.0,1395971805.0,53871545731.0,64063118830.0,634045363.0,1728745685.0,679796791.0,9878918185.0,721353869.0,3417964685.0
경북 고령군,8734276415.0,19136200.0,164067444.0,12094353137.0,21397431.0,17467994.0,1939640.0,14493180.0,0.0,16297700.0
경북 구미시,70922468695.0,19295342.0,7249934311.0,86208598255.0,167736116.0,827871572.0,294870117.0,600261703.0,270545079.0,135584580.0
경북 군위군,13975014167.0,15460120.0,182939960.0,10357225860.0,127419650.0,8755367.0,345360.0,407033869.0,0.0,19899000.0
경북 김천시,28729356659.0,35250375.0,2052483207.0,6225825745.0,97099529.0,323803180.0,38644484.0,149217736.0,5579518.0,245745982.0
경북 문경시,31829938742.0,123710378.0,2866766797.0,6652592968.0,46960742.0,624568310.0,11598202.0,916335157.0,18656807.0,24913440.0
경북 봉화군,6732303700.0,77972352.0,536923430.0,7212667.0,2933319.0,17175976.0,77500.0,17303660.0,0.0,49653880.0
경북 상주시,21150566718.0,9316710.0,1308216396.0,10362420530.0,115789896.0,63487583.0,24274522.0,92820344.0,8260300.0,56077040.0
경북 성주군,12280589487.0,31168198.0,817223315.0,237692459.0,58170350.0,2322234.0,3576850.0,63962489.0,0.0,1573244427.0
경북 안동시,43374995379.0,165765723.0,3974426332.0,4523654317.0,56909581.0,422665659.0,100636285.0,567552784.0,55611500.0,104162361.0
경북 영덕군,30048075329.0,29928309.0,2338305632.0,7142580771.0,67227079.0,13406784.0,7043705.0,16961250.0,3107900.0,18714850.0
경북 영양군,1486056002.0,0.0,273606320.0,653540.0,1078479.0,2604870.0,2301490.0,11035100.0,0.0,0.0
경북 영주시,22930806702.0,41626665.0,2343003723.0,383756013.0,26107986.0,155658408.0,35313872.0,97616000.0,5000900.0,203507683.0
경북 영천시,18300170296.0,954450.0,1178049134.0,16558166110.0,127556473.0,48262679.0,4184645.0,118959351.0,51979110.0,1065190395.0
경북 예천군,10313439482.0,0.0,687051879.0,2896688546.0,120083415.0,115109024.0,2928820.0,59790279.0,0.0,25069830.0
경북 울릉군,9887807018.0,144061605.0,1790391482.0,50757900.0,9251905.0,0.0,0.0,275446730.0,968614282.0,0.0
경북 울진군,25102089054.0,25837561.0,4927529386.0,152836765.0,51757990.0,70083081.0,4908730.0,2744857231.0,8656000.0,4383780.0
경북 의성군,9846527437.0,0.0,558835060.0,11266967313.0,34578820.0,673000.0,2016050.0,16999445.0,1811600.0,92238800.0
경북 청도군,29212986742.0,113904705.0,695468151.0,15625197300.0,156537299.0,142415262.0,7676984.0,2021608318.0,3495900.0,407623732.0
경북 청송군,9524859042.0,22277110.0,4498259310.0,6487533.0,1964410.0,0.0,368440.0,322841895.0,0.0,521981725.0
경북 칠곡군,38856478012.0,80197615.0,1214139537.0,11944690178.0,321537783.0,77092226.0,8295136.0,636419734.0,0.0,557566460.0
경북 포항시,115801483906.0,166573572.0,12049115916.0,7240129910.0,473298040.0,1149089539.0,442667480.0,516687752.0,659539743.0,415455735.0
광주 광산구,64752002070.0,3792860.0,6227948926.0,6275490753.0,308316937.0,1084629515.0,612107058.0,270067277.0,940324622.0,48577021.0
광주 남구,23635204517.0,2397470.0,538056349.0,426305867.0,57010931.0,572182741.0,141967590.0,227039081.0,21739960.0,54516230.0
광주 동구,36958670730.0,25489210.0,2682767179.0,430619362.0,60964541.0,1111423741.0,1632505395.0,244051430.0,105734690.0,556993902.0
광주 북구,51027866269.0,88606730.0,3849625870.0,1914682881.0,165162643.0,1991221705.0,490326454.0,680372053.0,69714854.0,194959175.0
광주 서구,66225902825.0,13892380.0,8453867373.0,1406306508.0,133296539.0,1731590220.0,439624643.0,81546363.0,868265520.0,68025108.0
대구 남구,19383204923.0,37916726.0,930344004.0,343779536.0,114086246.0,731025240.0,292880129.0,518424535.0,80473570.0,1092342633.0
대구 달서구,53425844263.0,187462507.0,4469146813.0,1188870899.0,244043493.0,1062576865.0,606475664.0,158829742.0,318699286.0,134257430.0
대구 달성군,33883137222.0,71024474.0,1862688524.0,915248781.0,341693971.0,196841435.0,37679971.0,109129019.0,0.0,280984800.0
대구 동구,58292440149.0,190826430.0,12086523607.0,1698268154.0,200144818.0,1211125015.0,69912988.0,309143949.0,1201362216.0,1133944546.0
대구 북구,54249255254.0,10852238.0,2997657007.0,957253690.0,155275923.0,1392739128.0,767719439.0,197744510.0,147139490.0,828440805.0
대구 서구,11396575876.0,16541444.0,1120428301.0,334668060.0,336786212.0,52481745.0,90392920.0,44425455.0,69565780.0,301416340.0
대구 수성구,79715150850.0,123169770.0,10609190833.0,1752510288.0,250319969.0,1151133614.0,528364969.0,364615798.0,166118754.0,145282711.0
대구 중구,68731046541.0,44655040.0,4298364975.0,1282401060.0,41156675.0,3111672317.0,2486239831.0,870198948.0,3364500.0,181508400.0
대전 대덕구,35097962112.0,7077540.0,2897859839.0,568697987.0,12635635.0,823101735.0,35903779.0,138025312.0,130122750.0,103312870.0
대전 동구,39764173131.0,78857800.0,2322571710.0,401292387.0,151024739.0,1198402761.0,225432365.0,215687051.0,1707486014506.0,221716900.0
대전 서구,100214473362.0,23373850.0,4605307976.0,7469842601.0,477093372.0,3119062535.0,1876244112.0,610417232.0,302186508.0,562487944.0
대전 유성구,125512538367.0,101957060.0,14111579072.0,7096196933.0,596193981.0,2278572187.0,710883664.0,208339651.0,1517087560.0,506822894.0
대전 중구,60238521203.0,15077620.0,2672481745.0,1177355210.0,132273655.0,1142276762.0,603223240.0,1924929723.0,2301724117.0,943719795.0
부산 강서구,37646191972.0,180790586.0,2596317980.0,4100829986.0,107693362.0,351139340.0,21521240.0,46075215.0,157220559430.0,71020000.0
부산 금정구,31900077821.0,42204947.0,849327698.0,2872833611.0,125370787.0,1039156871.0,313698212.0,139649652.0,18861100.0,636782090.0
부산 기장군,82626598525.0,0.0,32083951057.0,8396417407.0,183394692.0,770765986.0,212039842.0,242860491.0,18755410.0,1615050606.0
부산 남구,29779889381.0,17485675.0,2398800358.0,3166761412.0,134913865.0,604187899.0,218159777.0,70736740.0,15270.0,198523225.0
부산 동구,20942150446.0,72348765.0,3414867683.0,9720093916.0,62664410.0,314601696.0,20389330.0,48996516.0,906181811.0,456783022.0
부산 동래구,29119718739.0,2602640.0,4010668830.0,595541088.0,117041418.0,815313409.0,126595137.0,159394857.0,192411162.0,134548048.0
